Airport,Terminal,Date,hour,date_time,Total,Flights,Booths
TPA,Main,12/19/2021,15:00,2021/12/19 15:00,273,1,6
TPA,Main,12/19/2021,18:00,2021/12/19 18:00,221,1,7
TPA,Main,12/20/2021,11:00,2021/12/20 11:00,88,1,4
TPA,Main,12/20/2021,12:00,2021/12/20 12:00,93,1,2
TPA,Main,12/20/2021,14:00,2021/12/20 14:00,172,2,3
TPA,Main,12/20/2021,16:00,2021/12/20 16:00,272,1,6
TPA,Main,12/21/2021,12:00,2021/12/21 12:00,175,2,3
TPA,Main,12/21/2021,13:00,2021/12/21 13:00,50,1,3
TPA,Main,12/21/2021,17:00,2021/12/21 17:00,301,1,6
TPA,Main,12/21/2021,18:00,2021/12/21 18:00,223,1,5
TPA,Main,12/22/2021,12:00,2021/12/22 12:00,69,1,6
TPA,Main,12/22/2021,13:00,2021/12/22 13:00,68,1,5
TPA,Main,12/22/2021,15:00,2021/12/22 15:00,184,1,7
TPA,Main,12/23/2021,12:00,2021/12/23 12:00,142,1,6
TPA,Main,12/23/2021,13:00,2021/12/23 13:00,235,3,5
TPA,Main,12/23/2021,16:00,2021/12/23 16:00,232,1,4
TPA,Main,12/23/2021,18:00,2021/12/23 18:00,222,1,4
TPA,Main,12/24/2021,11:00,2021/12/24 11:00,63,1,7
TPA,Main,12/24/2021,12:00,2021/12/24 12:00,94,1,6
TPA,Main,12/24/2021,13:00,2021/12/24 13:00,94,2,7
TPA,Main,12/24/2021,16:00,2021/12/24 16:00,255,1,7
TPA,Main,12/25/2021,12:00,2021/12/25 12:00,194,2,5
TPA,Main,12/25/2021,13:00,2021/12/25 13:00,88,1,5
TPA,Main,12/25/2021,15:00,2021/12/25 15:00,41,1,3
TPA,Main,12/26/2021,12:00,2021/12/26 12:00,214,2,8
TPA,Main,12/26/2021,14:00,2021/12/26 14:00,117,1,8
TPA,Main,12/26/2021,15:00,2021/12/26 15:00,246,2,6
TPA,Main,12/26/2021,16:00,2021/12/26 16:00,8,1,1
TPA,Main,12/26/2021,17:00,2021/12/26 17:00,238,1,6
TPA,Main,12/27/2021,11:00,2021/12/27 11:00,87,1,4
TPA,Main,12/27/2021,12:00,2021/12/27 12:00,126,1,3
TPA,Main,12/27/2021,13:00,2021/12/27 13:00,167,2,4
TPA,Main,12/27/2021,15:00,2021/12/27 15:00,251,1,5
TPA,Main,12/28/2021,12:00,2021/12/28 12:00,113,1,3
TPA,Main,12/28/2021,13:00,2021/12/28 13:00,69,1,3
TPA,Main,12/28/2021,14:00,2021/12/28 14:00,109,1,3
TPA,Main,12/28/2021,17:00,2021/12/28 17:00,501,2,8
TPA,Main,12/29/2021,12:00,2021/12/29 12:00,124,1,4
TPA,Main,12/29/2021,13:00,2021/12/29 13:00,92,1,4
TPA,Main,12/29/2021,15:00,2021/12/29 15:00,251,1,5
TPA,Main,12/30/2021,12:00,2021/12/30 12:00,278,3,6
TPA,Main,12/30/2021,13:00,2021/12/30 13:00,117,1,6
TPA,Main,12/30/2021,15:00,2021/12/30 15:00,243,1,7
TPA,Main,12/30/2021,19:00,2021/12/30 19:00,195,1,6
TPA,Main,12/31/2021,11:00,2021/12/31 11:00,32,1,6
TPA,Main,12/31/2021,12:00,2021/12/31 12:00,76,1,5
TPA,Main,12/31/2021,13:00,2021/12/31 13:00,124,2,5
TPA,Main,12/31/2021,15:00,2021/12/31 15:00,224,1,7
TPA,Main,1/1/2022,12:00,2022/01/01 12:00,135,1,6
TPA,Main,1/1/2022,13:00,2022/01/01 13:00,196,2,6
TPA,Main,1/1/2022,15:00,2022/01/01 15:00,194,1,8
TPA,Main,1/1/2022,17:00,2022/01/01 17:00,7,1,1
TPA,Main,1/2/2022,12:00,2022/01/02 12:00,113,1,6
TPA,Main,1/2/2022,13:00,2022/01/02 13:00,262,2,6
TPA,Main,1/2/2022,14:00,2022/01/02 14:00,174,1,6
TPA,Main,1/2/2022,16:00,2022/01/02 16:00,219,1,6
TPA,Main,1/2/2022,19:00,2022/01/02 19:00,249,1,7
TPA,Main,1/3/2022,11:00,2022/01/03 11:00,161,1,5
TPA,Main,1/3/2022,12:00,2022/01/03 12:00,123,1,4
TPA,Main,1/3/2022,13:00,2022/01/03 13:00,170,1,5
TPA,Main,1/3/2022,15:00,2022/01/03 15:00,242,2,4
TPA,Main,1/3/2022,18:00,2022/01/03 18:00,208,1,6
TPA,Main,1/4/2022,12:00,2022/01/04 12:00,229,2,3
TPA,Main,1/4/2022,14:00,2022/01/04 14:00,176,2,2
TPA,Main,1/4/2022,17:00,2022/01/04 17:00,437,2,6
TPA,Main,1/5/2022,12:00,2022/01/05 12:00,238,3,5
TPA,Main,1/5/2022,13:00,2022/01/05 13:00,173,2,5
TPA,Main,1/5/2022,14:00,2022/01/05 14:00,93,1,4
TPA,Main,1/5/2022,16:00,2022/01/05 16:00,216,1,6
TPA,Main,1/6/2022,12:00,2022/01/06 12:00,184,2,6
TPA,Main,1/6/2022,13:00,2022/01/06 13:00,214,2,5
TPA,Main,1/6/2022,16:00,2022/01/06 16:00,218,1,6
TPA,Main,1/6/2022,17:00,2022/01/06 17:00,198,1,6
TPA,Main,1/7/2022,11:00,2022/01/07 11:00,176,1,5
TPA,Main,1/7/2022,12:00,2022/01/07 12:00,101,1,5
TPA,Main,1/7/2022,13:00,2022/01/07 13:00,102,1,5
TPA,Main,1/7/2022,14:00,2022/01/07 14:00,207,2,6
TPA,Main,1/7/2022,15:00,2022/01/07 15:00,157,1,6
TPA,Main,1/7/2022,18:00,2022/01/07 18:00,177,1,6
TPA,Main,1/8/2022,12:00,2022/01/08 12:00,94,1,6
TPA,Main,1/8/2022,13:00,2022/01/08 13:00,297,2,6
TPA,Main,1/8/2022,14:00,2022/01/08 14:00,62,1,5
TPA,Main,1/8/2022,16:00,2022/01/08 16:00,159,1,7
TPA,Main,1/9/2022,12:00,2022/01/09 12:00,258,2,6
TPA,Main,1/9/2022,13:00,2022/01/09 13:00,230,2,6
TPA,Main,1/9/2022,16:00,2022/01/09 16:00,94,1,6
TPA,Main,1/9/2022,17:00,2022/01/09 17:00,203,1,7
TPA,Main,1/10/2022,11:00,2022/01/10 11:00,153,1,5
TPA,Main,1/10/2022,12:00,2022/01/10 12:00,176,2,5
TPA,Main,1/10/2022,13:00,2022/01/10 13:00,148,1,6
TPA,Main,1/10/2022,14:00,2022/01/10 14:00,52,1,6
TPA,Main,1/10/2022,17:00,2022/01/10 17:00,177,1,6
TPA,Main,1/11/2022,12:00,2022/01/11 12:00,71,1,5
TPA,Main,1/11/2022,16:00,2022/01/11 16:00,161,1,5
TPA,Main,1/11/2022,17:00,2022/01/11 17:00,141,1,5
TPA,Main,1/12/2022,12:00,2022/01/12 12:00,147,2,4
TPA,Main,1/12/2022,13:00,2022/01/12 13:00,167,1,5
TPA,Main,1/12/2022,16:00,2022/01/12 16:00,131,1,5
TPA,Main,1/13/2022,12:00,2022/01/13 12:00,163,2,6
TPA,Main,1/13/2022,13:00,2022/01/13 13:00,37,1,7
TPA,Main,1/13/2022,14:00,2022/01/13 14:00,324,2,6
TPA,Main,1/13/2022,17:00,2022/01/13 17:00,117,1,5
TPA,Main,1/14/2022,11:00,2022/01/14 11:00,159,1,5
TPA,Main,1/14/2022,12:00,2022/01/14 12:00,133,2,6
TPA,Main,1/14/2022,13:00,2022/01/14 13:00,169,1,6
